PIXEL,LATITUDE,LONGITUDE
0,41.41001717,-74.41777583
1,41.40716713,-74.40582467
2,41.4043158,-74.39387459
3,41.40146319,-74.3819256
4,41.39860929,-74.36997769
5,41.3957541,-74.35803087
6,41.39289764,-74.34608514
7,41.39003988,-74.33414049
8,41.38718085,-74.32219693
9,41.38432052,-74.31025446
10,41.38145892,-74.29831307
11,41.37859603,-74.28637278
12,41.37573185,-74.27443357
13,41.3728664,-74.26249545
14,41.36999966,-74.25055841
15,41.36713163,-74.23862247
16,41.36426232,-74.22668762
17,41.36139173,-74.21475386
18,41.35851986,-74.20282119
19,41.35564671,-74.1908896
20,41.35277227,-74.17895911
21,41.34989655,-74.16702972
22,41.34701955,-74.15510141
23,41.34414127,-74.14317419
24,41.3412617,-74.13124807
25,41.33838086,-74.11932304
26,41.33549873,-74.1073991
27,41.33261532,-74.09547626
28,41.32973063,-74.08355451
29,41.32684466,-74.07163386
30,41.32395741,-74.0597143
31,41.32106888,-74.04779583
32,41.31817907,-74.03587846
33,41.31528798,-74.02396218
34,41.31239562,-74.012047
35,41.30950197,-74.00013292
36,41.30660704,-73.98821993
37,41.30371083,-73.97630804
38,41.30081335,-73.96439725
39,41.29791458,-73.95248756
40,41.29501454,-73.94057896
41,41.29211322,-73.92867146
42,41.28921062,-73.91676506
43,41.28630674,-73.90485975
44,41.28340159,-73.89295555
45,41.28049515,-73.88105245
46,41.27758744,-73.86915044
47,41.27467846,-73.85724954
48,41.27176819,-73.84534974
49,41.26885665,-73.83345103
50,41.26594383,-73.82155343
51,41.26302974,-73.80965693
52,41.26011437,-73.79776153
53,41.40101942,-74.42156017
54,41.39816979,-74.40961054
55,41.39531889,-74.39766201
56,41.39246669,-74.38571455
57,41.38961321,-74.37376819
58,41.38675845,-74.3618229
59,41.3839024,-74.34987871
60,41.38104507,-74.3379356
61,41.37818645,-74.32599357
62,41.37532655,-74.31405264
63,41.37246536,-74.30211279
64,41.36960289,-74.29017403
65,41.36673914,-74.27823635
66,41.3638741,-74.26629977
67,41.36100778,-74.25436427
68,41.35814018,-74.24242986
69,41.3552713,-74.23049654
70,41.35240113,-74.21856431
71,41.34952968,-74.20663317
72,41.34665694,-74.19470312
73,41.34378293,-74.18277417
74,41.34090763,-74.1708463
75,41.33803105,-74.15891952
76,41.33515319,-74.14699384
77,41.33227405,-74.13506925
78,41.32939363,-74.12314575
