Period,Avg Runoff,Month,Year
Jan-10,0.001716221,Jan,2010
Feb-10,0.001386726,Feb,2010
Mar-10,0.007095666,Mar,2010
Apr-10,0.003014354,Apr,2010
May-10,0.001122585,May,2010
Jun-10,0.000553754,Jun,2010
Jul-10,0.000449062,Jul,2010
Aug-10,0.000228824,Aug,2010
Sep-10,0.000196316,Sep,2010
Oct-10,0.001218474,Oct,2010
Nov-10,0.000229665,Nov,2010
Dec-10,0.000535627,Dec,2010
Jan-11,0.000326726,Jan,2011
Feb-11,0.000919144,Feb,2011
Mar-11,0.003786931,Mar,2011
Apr-11,0.002514682,Apr,2011
May-11,0.002267754,May,2011
Jun-11,0.001571468,Jun,2011
Jul-11,0.000706615,Jul,2011
Aug-11,0.003050914,Aug,2011
Sep-11,0.001727387,Sep,2011
Oct-11,0.001471646,Oct,2011
Nov-11,0.002014352,Nov,2011
Dec-11,0.002923601,Dec,2011
Jan-12,0.001977797,Jan,2012
Feb-12,0.001557991,Feb,2012
Mar-12,0.001297121,Mar,2012
Apr-12,0.000905337,Apr,2012
May-12,0.000637055,May,2012
Jun-12,0.00055657,Jun,2012
Jul-12,0.000324124,Jul,2012
Aug-12,0.000189662,Aug,2012
Sep-12,0.000364507,Sep,2012
Oct-12,0.0004575,Oct,2012
Nov-12,0.00014291,Nov,2012
Dec-12,0.000790486,Dec,2012
Jan-13,0.000576116,Jan,2013
Feb-13,0.000746293,Feb,2013
Mar-13,0.001468071,Mar,2013
Apr-13,0.001176444,Apr,2013
May-13,0.000873082,May,2013
Jun-13,0.001113851,Jun,2013
Jul-13,0.000653488,Jul,2013
Aug-13,0.000734124,Aug,2013
Sep-13,0.00027982,Sep,2013
Oct-13,0.00020773,Oct,2013
Nov-13,0.000569602,Nov,2013
Dec-13,0.000631766,Dec,2013
Jan-14,0.000605078,Jan,2014
Feb-14,0.000934127,Feb,2014
Mar-14,0.001999398,Mar,2014
Apr-14,0.00212448,Apr,2014
May-14,0.001688579,May,2014
Jun-14,0.000986346,Jun,2014
Jul-14,0.000748938,Jul,2014
Aug-14,0.000329724,Aug,2014
Sep-14,0.00021105,Sep,2014
Oct-14,0.000235966,Oct,2014
Nov-14,0.000207997,Nov,2014
Dec-14,0.000792054,Dec,2014
Jan-15,0.000886143,Jan,2015
Feb-15,0.000564013,Feb,2015
Mar-15,0.001573465,Mar,2015
Apr-15,0.001896871,Apr,2015
May-15,0.001056408,May,2015
Jun-15,0.001162417,Jun,2015
Jul-15,0.000401907,Jul,2015
Aug-15,0.000245851,Aug,2015
Sep-15,0.000900214,Sep,2015
Oct-15,0.000269161,Oct,2015
Nov-15,0.000237048,Nov,2015
Dec-15,0.000510917,Dec,2015
Jan-16,0.000586926,Jan,2016
Feb-16,0.001314347,Feb,2016
Mar-16,0.000794247,Mar,2016
Apr-16,0.000746432,Apr,2016
May-16,0.000658534,May,2016
Jun-16,0.000415314,Jun,2016
Jul-16,0.000393899,Jul,2016
Aug-16,0.000343037,Aug,2016
Sep-16,0.000137739,Sep,2016
Oct-16,0.000166119,Oct,2016
Nov-16,0.000265526,Nov,2016
Dec-16,0.000261801,Dec,2016
Jan-17,0.000443352,Jan,2017
Feb-17,0.000407438,Feb,2017
Mar-17,0.000846136,Mar,2017
Apr-17,0.002080955,Apr,2017
May-17,0.00145403,May,2017
Jun-17,0.001136486,Jun,2017
Jul-17,0.001179049,Jul,2017
Aug-17,0.000416115,Aug,2017
Sep-17,0.00034744,Sep,2017
Oct-17,0.000917971,Oct,2017
Nov-17,0.000264585,Nov,2017
Dec-17,0.000304396,Dec,2017
Jan-18,0.000787314,Jan,2018
Feb-18,0.002165042,Feb,2018
Mar-18,0.002385316,Mar,2018
Apr-18,0.002410705,Apr,2018
May-18,0.001582043,May,2018
Jun-18,0.000927233,Jun,2018
Jul-18,0.000618429,Jul,2018
Aug-18,0.001051095,Aug,2018
Sep-18,0.001535251,Sep,2018
Oct-18,0.000791899,Oct,2018
Nov-18,0.002795232,Nov,2018
Dec-18,0.003536108,Dec,2018
